_id,slug,title,link,total_price,rent_price,price_per_meter,meter_area,rooms,created_at,Street,City,Province
64706410,dom-hygge-twin-nowa-inwestycja-na-mokotowie-ID4nw5M,Dom Hygge Twin - Nowa inwestycja na Mokotowie!,https://www.otodom.pl/pl/ofertadom-hygge-twin-nowa-inwestycja-na-mokotowie-ID4nw5M,870098PLN,,21950PLN,39.64,TWO,2023-10-12 14:16:48,ul. Bobrowiecka,Warszawa,mazowieckie
64706414,dom-hygge-twin-nowa-inwestycja-na-mokotowie-ID4nw5Q,Dom Hygge Twin - Nowa inwestycja na Mokotowie!,https://www.otodom.pl/pl/ofertadom-hygge-twin-nowa-inwestycja-na-mokotowie-ID4nw5Q,899828PLN,,22700PLN,39.64,TWO,2023-10-12 14:16:55,ul. Bobrowiecka,Warszawa,mazowieckie
64764599,2-pokojowe-mieszkanie-45m2-ogrodek-bez-prowizji-ID4nKej,2-pokojowe mieszkanie 45m2 + ogródek Bez Prowizji,https://www.otodom.pl/pl/oferta2-pokojowe-mieszkanie-45m2-ogrodek-bez-prowizji-ID4nKej,749430PLN,,16500PLN,45.42,TWO,2023-10-31 09:12:26,ul. Jagiellońska,Warszawa,mazowieckie
64736048,mieszkanie-na-sprzedaz-ursynow-kabaty-ID4nCNO,Mieszkanie na sprzedaż Ursynów Kabaty,https://www.otodom.pl/pl/ofertamieszkanie-na-sprzedaz-ursynow-kabaty-ID4nCNO,2800000PLN,,14213PLN,197,FIVE,2023-10-21 17:20:56,,Warszawa,mazowieckie
64747152,2-pokojowe-mieszkanie-52m2-balkon-bezposrednio-ID4nFGU,2-pokojowe mieszkanie 52m2 + balkon Bezpośrednio,https://www.otodom.pl/pl/oferta2-pokojowe-mieszkanie-52m2-balkon-bezposrednio-ID4nFGU,687050PLN,,13000PLN,52.85,TWO,2023-10-25 10:57:18,ul. Loteryjki,Warszawa,mazowieckie
64706687,sloneczny-apartament-na-warszawskiej-starowce-ID4nwaf,Słoneczny apartament na warszawskiej Starówce,https://www.otodom.pl/pl/ofertasloneczny-apartament-na-warszawskiej-starowce-ID4nwaf,1200000PLN,500PLN,30000PLN,40,TWO,2023-10-12 15:05:24,ul. Celna,Warszawa,mazowieckie
64698571,prestizowa-lokalizacja-na-starym-miescie-ID4nt3l,Prestiżowa lokalizacja na Starym Mieście,https://www.otodom.pl/pl/ofertaprestizowa-lokalizacja-na-starym-miescie-ID4nt3l,1549000PLN,560PLN,29062PLN,53.3,THREE,2023-10-10 14:52:16,,Warszawa,mazowieckie
64764576,2-pokojowe-mieszkanie-44m2-loggia-bezposrednio-ID4nKdV,2-pokojowe mieszkanie 44m2 + loggia Bezpośrednio,https://www.otodom.pl/pl/oferta2-pokojowe-mieszkanie-44m2-loggia-bezposrednio-ID4nKdV,714258PLN,,16200PLN,44.09,TWO,2023-10-31 09:12:18,ul. Jagiellońska,Warszawa,mazowieckie
64757827,bezczynszowe-trzypoziomowe-mieszkanie-ID4nIt5,bezczynszowe trzypoziomowe mieszkanie,https://www.otodom.pl/pl/ofertabezczynszowe-trzypoziomowe-mieszkanie-ID4nIt5,1350000PLN,,7714PLN,175,FIVE,2023-10-27 23:05:20,ul. Zapiecek,Warszawa,mazowieckie
64727907,2-pokojowe-mieszkanie-35m2-balkon-7-69-4-73m2-ID4nAGw,"2-pokojowe mieszkanie 35m2 + balkon 7,69+4,73m2",https://www.otodom.pl/pl/oferta2-pokojowe-mieszkanie-35m2-balkon-7-69-4-73m2-ID4nAGw,800175PLN,,22700PLN,35.25,TWO,2023-10-19 11:01:06,ul. Bobrowiecka,Warszawa,mazowieckie
64766381,okazja-4-5-lub-nawet-6-pokoi-na-cichym-bemowie-ID4nKH3,"Okazja - 4, 5 lub nawet 6 pokoi na cichym Bemowie",https://www.otodom.pl/pl/ofertaokazja-4-5-lub-nawet-6-pokoi-na-cichym-bemowie-ID4nKH3,970000PLN,,10319PLN,94,FOUR,2023-10-31 15:04:31,ul. Juliusza Kaden-Bandrowskiego,Warszawa,mazowieckie
