_id,slug,title,link,total_price,rent_price,price_per_meter,meter_area,rooms,created_at,Street,City,Province
64585093,nowe-mieszkania-duzy-wybor-bez-prowizji-ID4mZx3,Nowe mieszkania-Duży wybór-Bez Prowizji,https://www.otodom.pl/pl/ofertanowe-mieszkania-duzy-wybor-bez-prowizji-ID4mZx3,479000PLN,,12832PLN,37.33,TWO,2023-09-07 08:45:47,ul. Leona Berensona,Warszawa,mazowieckie
64585091,nowe-mieszkanie-2-pokojowe-15min-do-metra-ID4mZx1,Nowe mieszkanie 2 pokojowe 15min do Metra,https://www.otodom.pl/pl/ofertanowe-mieszkanie-2-pokojowe-15min-do-metra-ID4mZx1,465000PLN,,13286PLN,35,TWO,2023-09-07 08:45:37,ul. Leona Berensona,Warszawa,mazowieckie
64570429,nowe-mieszkanie-4-pokojowe-dwa-balkony-13m2-ID4mWIx,Nowe mieszkanie 4 pokojowe dwa Balkony 13m2,https://www.otodom.pl/pl/ofertanowe-mieszkanie-4-pokojowe-dwa-balkony-13m2-ID4mWIx,694000PLN,,10491PLN,66.15,FOUR,2023-09-02 17:45:16,ul. Leona Berensona,Warszawa,mazowieckie
64570428,nowe-mieszkania-duzy-wybor-bez-prowizji-ID4mWIv,Nowe mieszkania-Duży wybór-Bez Prowizji,https://www.otodom.pl/pl/ofertanowe-mieszkania-duzy-wybor-bez-prowizji-ID4mWIv,479000PLN,,12832PLN,37.33,TWO,2023-09-02 17:45:13,ul. Leona Berensona,Warszawa,mazowieckie
64570240,nowe-mieszkania-duzy-wybor-bez-prowizji-ID4mWFu,Nowe mieszkania-Duży wybór-Bez Prowizji,https://www.otodom.pl/pl/ofertanowe-mieszkania-duzy-wybor-bez-prowizji-ID4mWFu,619000PLN,,11797PLN,52.47,THREE,2023-09-02 15:41:45,ul. Leona Berensona,Warszawa,mazowieckie
64570241,nowe-mieszkania-duzy-wybor-bez-prowizji-ID4mWFw,Nowe mieszkania-Duży wybór-Bez Prowizji,https://www.otodom.pl/pl/ofertanowe-mieszkania-duzy-wybor-bez-prowizji-ID4mWFw,611968PLN,,11127PLN,55,FOUR,2023-09-02 15:41:48,ul. Leona Berensona,Warszawa,mazowieckie
64570239,nowe-mieszkanie-4-pokojowe-z-ogrodem-30m2-ID4mWFt,Nowe mieszkanie 4 pokojowe z Ogrodem 30m2,https://www.otodom.pl/pl/ofertanowe-mieszkanie-4-pokojowe-z-ogrodem-30m2-ID4mWFt,639000PLN,,11618PLN,55,THREE,2023-09-02 15:41:42,ul. Leona Berensona,Warszawa,mazowieckie
64570238,nowe-mieszkanie-4-pokojowe-15min-do-metra-ID4mWFs,Nowe mieszkanie 4 pokojowe 15min do Metra,https://www.otodom.pl/pl/ofertanowe-mieszkanie-4-pokojowe-15min-do-metra-ID4mWFs,639000PLN,,11411PLN,56,FOUR,2023-09-02 15:41:33,ul. Leona Berensona,Warszawa,mazowieckie
64570237,nowe-mieszkania-duzy-wybor-bez-prowizji-ID4mWFr,Nowe mieszkania-Duży wybór-Bez Prowizji,https://www.otodom.pl/pl/ofertanowe-mieszkania-duzy-wybor-bez-prowizji-ID4mWFr,611000PLN,,11750PLN,52,THREE,2023-09-02 15:41:25,ul. Leona Berensona,Warszawa,mazowieckie
64570235,nowe-mieszkanie-2-pokojowe-15min-do-metra-ID4mWFp,Nowe mieszkanie 2 pokojowe 15min do Metra,https://www.otodom.pl/pl/ofertanowe-mieszkanie-2-pokojowe-15min-do-metra-ID4mWFp,465000PLN,,13286PLN,35,TWO,2023-09-02 15:41:20,ul. Leona Berensona,Warszawa,mazowieckie
64570236,nowe-mieszkania-duzy-wybor-bez-prowizji-ID4mWFq,Nowe mieszkania-Duży wybór-Bez Prowizji,https://www.otodom.pl/pl/ofertanowe-mieszkania-duzy-wybor-bez-prowizji-ID4mWFq,465000PLN,,12870PLN,36.13,TWO,2023-09-02 15:41:23,ul. Leona Berensona,Warszawa,mazowieckie
64570234,nowe-mieszkania-duzy-wybor-bez-prowizji-ID4mWFo,Nowe mieszkania-Duży wybór-Bez Prowizji,https://www.otodom.pl/pl/ofertanowe-mieszkania-duzy-wybor-bez-prowizji-ID4mWFo,499000PLN,,13132PLN,38,TWO,2023-09-02 15:41:11,ul. Leona Berensona,Warszawa,mazowieckie
64570233,nowe-mieszkania-duzy-wybor-bez-prowizji-ID4mWFn,Nowe mieszkania-Duży wybór-Bez Prowizji,https://www.otodom.pl/pl/ofertanowe-mieszkania-duzy-wybor-bez-prowizji-ID4mWFn,465000PLN,,13286PLN,35,ONE,2023-09-02 15:41:04,ul. Leona Berensona,Warszawa,mazowieckie
64569008,ekskluzywna-nieruchomosc-z-pieknym-widokiem-ID4mWlC,Ekskluzywna Nieruchomość z Pięknym Widokiem,https://www.otodom.pl/pl/ofertaekskluzywna-nieruchomosc-z-pieknym-widokiem-ID4mWlC,680000PLN,,27200PLN,25,TWO,2023-09-01 20:20:09,,Warszawa,mazowieckie
64567772,nowoczesny-apartament-w-przedwojennej-kamienicy-ID4mW1G,Nowoczesny apartament w przedwojennej kamienicy,https://www.otodom.pl/pl/ofertanowoczesny-apartament-w-przedwojennej-kamienicy-ID4mW1G,3045000PLN,,35000PLN,87,TWO,2023-09-01 15:16:32,ul. Nowogrodzka,Warszawa,mazowieckie
